expected output,output
"['brain magnetic resonance images of fluid attenuation inversion recovery sequence obtained in a 42 - year - old female with systemic lupus erythematosus on immunosuppression, pulsed with steroids, demonstrates marked vasogenic edema involving the brainstem']","['brain magnetic resonance imaging of fluid attenuation inversion recovery sequence obtained in a 42 - year - old female with systemic lupus erythematosus on immunosuppression, pulsed with steroids, demonstrates marked vasogenic edema involving the cerebellar white matter']"
['a large ( 9 × 8 cm ) spherical homogenous fluid attenuation mass with thin smooth wall around it in the right occipital lobe of brain ( rightward arrow ). brain parenchyma is seen all around the cyst and is effaced more posteriorly ( downward arrow ). significant mass effect is seen on the right lateral ventricle with midline shift to left ; no perilesional edema is seen. thin septation representing daughter cyst is seen posteriorly adjacent to wall ( upward arrow ) ; sagittal reformat ct image'],"['non - contrast ct head showing well - defined, csf dense, surrounded by a large hypodense area in the left parieto - occipital region with surrounding edema. there is no midline shift or displacement.']"
['noncontrast ct of the brain demonstrating a 4 mm left tentorial subdural hematoma'],['postoperative computed tomography scan showing decompressive craniectomy of the patient.']
['the mri brain in the child with mut - related mma showing predominant frontoparietal abnormalities in form of encephalomalacia and gliosis.'],['axial t2 - weighted brain mri showing hyperintensity in the periventricular white matter.']
['red - free fundus image of the right eye showing lasers scars in the temporal periphery with a vascular frond temporal to the fovea'],"['fluorescein angiogram of right eye, showing near - complete atrophy']"
['mid - sagittal t2 - weighted mr image showing thin corpus callosum mainly involving rostrum and genu ( arrows ) with frontoparietal lobe atrophy'],['mid - sagittal t2 - weighted magnetic resonance image showing marked atrophy of midbrain with prominent bilateral occipital encephalocele and marked atrophy with enlargement of frontal lobe parenchyma ( arrows )']
['brain computed tomography scan showing marked ventricular dilatation without calcification.'],['non - contrast computed tomography of the brain showing scattered areas of atrophy in the bilateral basal ganglia and gyri']
['mid - sagittal t2w image of the rabbit brain : fourth ventricular height was measured perpendicular to the base of the skull through the center of the fourth ventricle ( black line )'],['sagittal t2 mr image of the brain at 34 weeks gestation shows hypoplastic cerebellum within the left occipital lobe ( arrow ).']
"['mri brain t2 weighted ( axial view ) showing involvement of bilateral cerebral white matter, periventricular white matter, corona radiate, centrum semiovale and bilateral internal capsules.']","['mri brain scan of the 39 - year - old patient showed bilateral symmetrical putaminal hypointensity, punctuate enhancement in the white matter, mainly in the left occipital lobe.']"
['sagittal magnetic resonance image of arnold - chiari type i malformation. white arrow denotes the 7 mm tonsillar herniation from the cerebellum. no syringomyelia is seen.'],['brain mri of patient one month before pregnancy.']
['ct scan of the brain showing diffuse subarachnoid hemorrhage and foci of bleed in the right medial posterior temporal region.'],['postoperative ct scan of the brain showing left temporal lobe decompression']
['axial ct without contrast demonstrates right posterosuperior temporal lobe ill - defined clumped calcification.'],['noncontrast ct of the brain demonstrating a large right occipital infarct with underlying bony defect ( marked by arrows ).']
"['lateral skull radiographs showed significant frontal and occipital bossing, multiple wormian bones in the lambdoid suture associated with ill - defined skull base deformity and total loss of teeth.']","['x ray of the skull in standard projections reveals intracranial calcifications in the form of "" tram lines "" in the left hemisphere of the brain.']"
['non - enhanced computed tomography of the temporal bone demonstrated bony destruction in the left temporal bone.'],['brain ct scan shows atrophy of the left cerebellar hemisphere.']
"['seriated cranium computed tomography scan ( at 48 h, and roughly 3, 6, and 12 months from fitting the custom - made porous hydroxyapatite cranioplasty implant ). platelet gel mixed with hydroxyapatite granules has been applied in the frontal area, whilst the occipital area has none. from the third to the 6th month, initial frontal attachment is observed, which is completed within a year. progress at the back, in the absence of the filler, is slower']",['magnetic resonance imaging of the skull showing faint hypometabolism in the right fronto - temporal region']
['contrast enhancing infarction in the frontal lobe ( arrow ).'],['post - treatment mri. the t1 - weighted image demonstrates a contrast - enhancing mass in the left frontal lobe.']
"['t2w axial image of brain showing demyelination of internal capsule, external capsule and insular cortex']",['axial t2 weighted mr image showing hyperintensity of the central pons and ex - vacuo dilatation of left lateral ventricle']
"['mr spectroscopy showing a subcortical brain abscess with hemorrhagic changes ; aminoacid, acetate and succinate peaks were observed']",['non contrast sagittal t1wi of brain mri shows a well - defined extraaxial isointense mass involving the left anterior cranial fossa']
['showing an echogenic mass in close proximity to the occipital region of the fetus.'],['transverse ultrasonography of the brain at 24 weeks of age showing an enlarged ventricles ( m ) with the tentorium thickening of the parietal peritoneum.']
['normal t2 weighted saggital mri brain in 2003'],['sagittal t2 - weighted magnetic resonance image showing marked atrophy of the cortical and subcortical mfibers in the right occipital region.']
"['t2 weight fluid attenuated inversion recovery magnetic resonance imaging ( mri ) of a 13 - year - old girl who had history of high - grade fever, headache and loss of consciousness 2 years back and later developed generalized dystonia. mri shows hyperintensities in bilateral caudate, left posterior parietal and right frontal grey matter']",['mri features in patient with pkan. t2 - weighted brain mri of the 8 - year - old male child with moyamoya disease shows increased signal in the periventricular white matter']
"['mri scan ( axial view ) was suggestive of sphenoid wing dysplasia on right side with herniation of right fronto - temporal lobe, temporal horn of right ventricle and csf though the defect. hemiatrophy of right cerebral hemisphere']",['mri imaging showing heterogeneously enhancing soft tissue mass in ethmoid sinuses']
['four year - old boy who presented with impaired vision and acne. t1wi post - gadolinium sagittal mri of the brain shows heterogenously enhancing suprasellar tumour ( arrows ) with hydrocephalus. histology revealed pilomyxoid astrocytoma.'],['postoperative sagittal t1 - weighted mri shows homogeneously enhancing basal ganglia and an obliteration of ventricles due to pressure effect.']
['coronal t2 brain mri revealing an engorged appearance of the bilateral transverse dural venous sinuses'],['t2 weighted image of the brain showing widespread hyperintensities compressing the occipital and temporal lobes on either side ( arrows ).']
"['magnetic resonance imaging of a 61 - year - old man with mental confusion, ataxic gait, ocular symptoms and hypothermia. axial fluid attenuated inversion recovery t2 - weighted image showed diffuse 3rd ventricle enlargement with hypothalamus atrophy ( circle ).']","['mri image of patient a showing the “ face of the giant panda ” sign ” ( arrows ) extending up to the thalamus and medial temporal lobes, in particular, the splenium of the corpus callosum ( tl region, gliosis ).']"
"['t1 weighted with contrast magnetic resonance, axial section. pathological tissue on t1 weighted images with contrast enhancement involves the neotympanic cavity, the lateral parapharyngeal space, the right posterior foramen lacerum, as well as the condyloid canal. it also extends posteriorly involving the right cerebellum ( arrow ).']",['postoperative axial t1 - weighted magnetic resonance image showing an enhancing mass at the left cerebellopontine angle with minimal displacement of the bone']
['brain computed tomographic scan after lumbar puncture reveals midline shift to the left and transtentorial herniation.'],"['after emergent right fronto - temporo - parietal craniectomy operation, brain computed tomographic scan shows the resolution of the air within the right fronto - temporal lobe.']"
['sagittal computed tomography ( ct ) scan revealing a soft - tissue mass in the right infratemporal fossa ( itf ) and an enlarged foramen ovale.'],['case 1. contrast - enhanced ct scan showing isodense collection in in right infratemporal fossa.']
"['bilateral chronic subdural haematoma ; what should be taken into account is the absence of the mass effect on the structures of the median line, and the presence of the compressive effect on the noble brain structures – mri image, t1']",['infarction in parietal cortex.']
['magnetic resonance imaging brain of the patient showing old lacunar infarct in right caudate nucleus ( red arrow )'],"['a cranial mri revealed ischemia of right fronto - temporal atrophy with with enlargement of cerebral hemispheres, consistent with infarction in the left occipital lobe.']"
"['mri scan showing destruction of right sphenoid, frontal bones and zygomatic arch with associated soft tissue component extending laterally into the infratemporal fossa and medially into the orbit.']","['coronal t2 - weighted magnetic resonance image showing ill - defined, heterogeneously enhancing soft tissue mass involving the right frontal lobe with associated soft tissue component extending anteriorly and posteriorly into the orbit.']"
['magnetic resonance imaging of the brain showing intact brain structures with no signs of obstructive hydrocephalus.'],['mri brain showing bilateral occipital cortical atrophy.']
['computerized tomography picture showing a right sided deep parietal infarct.'],['unenhanced ct scan of the brain showing a bilateral fronto - temporal subdural hygromas (']
['ct brain.'],['temporal bone ct - scan.']
['axial flair image shows bilateral symmetrical putaminal hyperintensities. also note hyperintense signal involving bilateral frontal lobes'],['axial t2 - weighted flair image shows hyperintensity in the periventricular white matter. the lesions are symmetrical and t2 - weighted']
['mri image of the brain and orbit on postoperative day 10 showing only age - related changes.'],"['mri brain showed evidence of a small left sided herniation of the t2, as well as the disappearance of the lacunar lesions.']"
"['brain magnetic resonance images of fluid attenuation inversion recovery sequence obtained in a 14 - year - old male on induction chemotherapy with asparaginase demonstrates moderate bilateral but asymmetrical subcortical and deep white matter vasogenic edema, of temporal and parietal regions']","['brain magnetic resonance images of fluid attenuation inversion recovery sequence obtained in a 14 - year - old male on induction chemotherapy with asparaginase demonstrates moderate bilateral but asymmetrical subcortical and deep white matter vasogenic edema, of parietal and occipital regions']"
"['ct head with and without contrast demonstrating a large, round, relatively smoothly marginated enhancing extra - axial mass ( measuring 6. 8 cm in transverse diameter, 5. 9 cm in ap diameter ) involving the right and left parietal region, straddling the posterior falx cerebri and superior sagittal sinus.']",['noncontrast ct head showing bilateral depressed parietal bone fracture']
['medial temporal lobe atrophy. example of abnormal medial temporal lobe atrophy in a ct scan in a study patient representing a score of 3 on the left side and 4 on the right side. this was not mentioned in the original report. this patient had an mmse score of 22 points with 0 points on the memory item. this patient had noprevious mentioning of cognitive impairment in medical records'],['ct brain scan showing dilated ventricles and subcortical t2 hypodensity of left frontal and parietal cortex.']
['hemorrhagic destruction of the thalamus is associated with intractable pain ( white arrow ).'],['an axial noncontrast ct of the brain shows acute infarction in the left basal ganglia ( white arrow ).']
['followup magnetic resonance imaging brain showing resolution of lesions'],['mri of brain showing prominent cerebellar atrophy']
['mri of the brain ( flair ) showed a high signal in the posterior part of the sagittal sinus.'],['axial flair mri demonstrating hyperintensity in the right frontal and occipital white matter.']
['axial fluid - attenuated inversion recovery image showing a bilateral hyperintense signal in the hypothalamus.'],['postoperative sagittal t1 - weighted image showing decompression of cerebellum with resolution of the brain stem and reduction in the size of the pituitary gland.']
['hrct temporal bone showing mastoid destruction with haziness of cells'],['ct scan showing occipital encephalocele.']
"['an 83 - year - old male who presented with acute coma. noncontrast ct obtained 2 days after admission shows hypodensity in the medial aspects of both temporal lobes, compatible with posterior circulation ischemia. occipital lobes, brainstem and cerebellum are also involved, and there is relative hyperdensity of the basilar artery. note preservation of the entorhinal cortex ( asterisks ), supplied by mca and anterior choroidal artery branches']","['non - contrast computed tomography of the brain showing generalized cerebral atrophy, bilateral basal ganglia calcification ( asterisks ) and gliosis of the brain.']"
"['brain computerized tomography at presentation showing thickening of the right eye medial rectus muscle, associated with increased spontaneous density.']","['brain computerized tomography showing bilateral thickening of the medial rectus muscles, associated with increased spontaneous density.']"
['computed tomography image of intra - cranial air around lower part of brain stem'],['postoperative ct scan of the head at admission.']
['ct scan of temporal bone shows : upper arrow : incomplete number of turns. lower arrow : widened vestibular aqueducts'],"['48 - year old woman with klippel trenaunay syndrome. axial dwi of the temporal bone demonstrates the increased signal in the left at the apex of the cerebellum ( arrow ). abbreviations : adc, anterior wall, inferior cerebellar artery ; p, internal auditory canal ; r, in the left hippocampus, a.']"
['a brain computed tomography scan with an axial view demonstrating air density of nasal cavity.'],['brain ct at 6 months after surgery shows improved lesion.']
"['a magnetic resonance imaging ( mri ) scan taken 5 years after the accident showing high - intensity areas in the left temporal and frontal lobes as well as micro - hemorrhaging in the right midbrain, temporal lobe, and frontal lobe.']",['t2w axial mr image showed hyperintensity in the right temporal and occipital cortex.']
['proton magnetic resonance spectroscopy of the right hippocampus of rats. the pane refers to the region of interest.'],['mrsi152 - weighted image of the brain in a patient with herpes simplex virus type - 1 encephalitis.']
['t1 - weighted axial mr image with contrast showing a thalamic ring - enhancing lesion in the left side of the brain'],['postoperative mri of the brain with contrast showing ring enhancing lesion in the left thalamus with diffuse perilesional edema and mass effect']
"['brain magnetic resonance imaging ( t1 ) showing a soft tissue mass 3. 0 cm in size, ovoid and well enhanced under the skull. the mass shows a dural tail sign.']",['t1 - weighted brain mri showing accentuation of leptomeningeal / periventricular enhancement along the cortical surface.']
['non - contrast ct ( ncct ) head shows bilateral symmetrical hypodensities in the putamen and frontal lobes'],['ct brain showing encephalomalacia']
"['prediction error bold responses. model - derived trial - to - trial prediction error ( pe ) values were entered into a random effects general linear model in brainvoyager as a parametric regressor. bold responses correlating with the pe regressor are observed in corticostriatal circuitry, including ventral striatum ( x, y, z = 5, 13, −3 ) and ventral anterior cingulate cortex ( x, y, z = 8, 31, −9 ).']","['conjunction analysis ( happiness, sadness, fear vs. baseline ). tc = temporal cortex. x coordinate is in the mni stereotactic space ; cluster - level thresholded at p ( fdr ) < 0. 05.']"
"['brain mri with gadolinium - meningeal enhancement is clearly seen, due to intra - cranial hypotension']",['brain mri ( sagittal view ) showing expansile lesion centered in sphenoid sinus. the area with the signal void represents fungal debris.']
['cranial ct showing large acute frontal and parieto - occipital watershed infracts with hemorrhagic component.'],"['ct scan of head without contrast, day 5 in icu']"
['t2 - weighted axial image of brain of 13 - year - old male with recurrent seizure shows basi - frontal meningo - encephalocele with schizencephaly'],['axial t2 - weighted image of mri brain showing large hypointense lesion involving left frontal lobe']
"['nonenhanced brain computed tomography scan eight weeks after admission. axial image shows significant nonobstructive hydrocephalus resulting in compression of cerebral parenchyma. there are hypodensities involving the periventricular regions and the frontal lobes bilaterally with associated cystic encephalomalacia, more on the right.']",['a noncontrast ct image of brain showing extensive subcortical t2 / flair cerebral edema with midline shift.']
"['tcs image ( zoom ) of mesencephalic brainstem of patient with ipd, left sn ( arrow ) with an area of 0. 43 cm2.']","['tcs image ( zoom ) of butterfly shaped mesencephalic brainstem of healthy individual, left sn ( arrow ) with an area of 0. 10 cm2.']"
['mri demonstrating slight increase in t2 signal in the medial bilateral thalamus ( arrows ).'],['axial fluid - attenuated inversion recovery ( flair ) magnetic resonance imaging of the brain showing bilateral symmetrical hyperintensities ( arrows ) raising suspicion for leptomeninges.']
['x - ray of the skull showing lytic lesion in the right parietal region.'],['ap skull shows symmetrical thinning of bilateral parietal bones involving the outer table and diploe']
['pretreatment brain ct scan.'],['axial ct image of the head shows hypodense lesions in the left temporal and parietal lobes.']
['mri axial view of subcortical tubers in both frontal lobes ( encircled in white ) in a fetus ( gestational age 32 weeks ) with multiple cardiac rhabdomyomas. tentative diagnosis of tuberous sclerosis.'],['mri image of the brain in a patient with fabry disease : showing the “ t2 ” flair image ”. the circle shows the “ banana sign ” ” appearance ”.']
"['the signal of the cortex in the head of the right putamen has disappeared, the lenticular nucleus is somewhat small, and the right frontotemporal lobe and insular lobe show an abnormal signal, with suspected developmental delay.']","['brain mri of the 39 - year - old patient showed symmetric hyperintensity involving the thalamus, as well as polymicrogyria.']"
"['ct scan of the orbits and brain, coronal view. the swelling extended into the soft tissues of the infra - orbital region, but there was little pre - septal soft tissue swelling.']","['ct scan of the orbits and brain, coronal view. soft tissue density collection on the floor of the right orbit, elevating the inferior rectus muscle, extending posteriorly to the apex of the orbit.']"
['magnetic resonance imaging brain activated diffusion coefficient showing corresponding hypointensity in the same area as figure 1 ( shown by arrow )'],['postoperative mri showing reduced size ( p < 0. 05 ) of the right hippocampus with relative sparing of the ipsilateral frontal cortex.']
['thoracoscopy with video recorder : complete evaluation of the pleural cavity is possible. the lung is retracted for parietal and visceral pleural biopsies. lysis of adhesions and lung biopsies could be easily illustrated on the video screen.'],['fluorescein angiogram of the skull shows an important destruction of the left temporal bone']
['same patient as figs 9 and 10. coronal t1w post - gadolinium of adenocarcinoma throughout the right nasal cavity and maxillary sinus with extension into the right infratemporal fossa.'],['transverse t2 - weighted magnetic resonance imaging at the age of 17 showing features of mass effect on the left temporal bone.']
"['ct of the temporal bones shows a well - defined cystic lesion originating from the anterolateral portion of the left external auditory canal. the lesion has no deep extension, does not show any bone erosion, and does not involve the middle ear cleft.']",['axial noncontrast ct of the temporal bone showing locally destructive mass involving the left mastoid air cells with disruption and erosion of the right temporal bone.']
['mri t2 weighted image showing areas of hyper intensity involving caudate nucleus and thalamus'],['t2 weighted image of brain showing thickening of right thalamus with intact corpus callosum']
"['computed tomography scan of the head, revealing diffuse, dense calcification of the cerebellum, tentorium, and falx.']",['ct brain showing bilateral gliotic changes with gliotic changes suggestive of ischemia in the left temporal and parietal lobes']
['noncontrasted computed tomography ( ct ) scan of the brain showing extensive symmetric intracranial calcification involving the basal ganglia.'],['computed tomography of the brain revealed prominent bilateral basal ganglia calcifications.']
['unenhanced computed tomography scan of her brain showing diffuse subarachnoid hemorrhage in the basal cisterns. abnormal hyperdense signals in the prepontine cistern indicate an underlying vascular lesion.'],['non - contrast ct of the brain showing bilateral subarachnoid hemorrhage with no evidence of hemorrhage or cerebral atrophy. the first patient was treated with anti - tb.']
['coronal temporal bone computerized tomography without contrast shows an isolated soft tissue mass limited to the tympanic membrane without middle ear invasion.'],['the temporal bone ct scan of the patient is shown.']
"['axial t2 - weighted, fluid - attenuated inversion recovery magnetic resonance image shows progressive multifocal leukoencephalopathy with a high signal intensity lesion involving the white matter of the dorsal right frontal lobe and right frontal operculum, as well as lateral left frontal and inferior left occipitotemporal region with no mass effect']",['brain mri. contrast enhanced t1w image showing multiple periventricular hyperintense lesions in both cerebral hemispheres.']
"['digital subtraction angiogram of the cerebellum. a digital subtraction angiogram, early arterial phase, performed by injection of the left internal carotid artery. the anterior spinal vein ( white arrows ) was visualized during the study from c1 to c5. the posterior spinal vein ( black arrow ) was visualized from c1 - 2. no visualization of the anterior and posterior spinal vein was noted in the angiogram performed subsequent to the insertion of the neurovascular clip.']","['selective right external carotid artery angiogram after left internal carotid artery - middle cerebral artery double anastomosis, and internal carotid artery angiogram. in the left internal carotid artery is supplied by multiple branches of the occipital artery, the internal carotid artery, and mca branches of internal carotid artery, and inferior temporal artery.']"
"['lateral radiography reveals a mildly enlarged skull, an open fontanelle and a partial protrusion on the occipital bone.']","['skull film, lateral projection showed a rounded osteolytic lesion with a nonsclerotic rim in the left parietal bone.']"
['ct - angiogram of the brain showing hypodense absorbable plate compressing the right cavernous carotid artery.'],"['axial non - contrast ct revealed a hyperdense mass involving the right orbital wall and sphenoid sinus, ethmoid sinus and right temporal bones.']"
['axial mr image ( t1 with fat saturation ). an isointense to brain and optic nerve ( arrow ) lesion which produces exopthalmos. the lesion appears as marked widening along the path of the optic nerve but there is no intracranial extension.'],['axial non - contrast image of the orbit and brain shows extensive periventricular edema with sparing of the right temporal horn of the right lateral ventricle.']
"['this ct scan shows separation of brain from fluid, including csf and blood. this is a ct scan, post - contrast, of a patient with a bleed from an aneurysm ( black color is blood and csf ). ct, computed tomography ; csf, cerebrospinal fluid']",['brain ct scan showing extensive leukoencephalopathy.']
['precraniotomy mri t1wi showing the isodense lesion with brain fungus. the brain parenchyma is normal'],['magnetic resonance imaging brain showing bilateral white matter hypointensities suggestive of ischemia in patient 2']
['brain magnetic resonance imaging revealing corpus callosum thinning ( marked as an arrow ).'],['midsagittal t1 - weighted image of the brain demonstrating prominent cerebellar atrophy.']
"['chasing leads on brain tumors. information on what causes brain tumors is fragmented ; however, new data may tie together clues about lead exposure and a predisposition to develop meningioma.']",['sagittal t1 post - contrast mr image showing homogeneous wall enhancement']
['post - operative ct ( after hemicraniectomy ) day 2. the white arrows highlight the hypodense regions of brain parenchyma in the posterior circulation which is tissue at risk for subsequent ischemic injury.'],['noncontrast brain computed tomographic image initially identifying the air pocket in the left sylvian fissures ( white arrows ).']
['case 4 – magnetic resonance imaging of brain ( sagittal section ) shows a cystic lesion in the suprasellar cistern ( outlined by arrows ) suggestive of craniopharyngioma'],['sagittal t1 view of magnetic resonance imaging of brain shows hypoplastic pituitary with intact posterior pituitary hyperintensity']
"['axial nonenhanced computed tomography image shows hemorrhagic contusion areas in the frontal lobes bilaterally as foci of hyperdensity involving the grey matter and subcortical white matter and hyperdensities filling the subarachnoid space due to subarachnoid hemorrhage in the anterior interhemispheric fissure and sulci in the frontal lobes ( arrow ). in addition, intraventricular hemorrhage is seen ( dashed arrow )']",['noncontrast computed tomography brain scan showing marked atrophy of the basal ganglia and subcortical regions']
"['axial brain mri gre sequence showing a large area of susceptibility artifact in the posterior lateral left thalamus, consistent with blood products.']",['brain mri shows multiple hyperintensities in the left thalamus.']
"['magnetic resonance imaging of a 9 - cm jugular paraganglioma invading the skull base, carotid vessels, and the mastoid part of the temporal bone.']",['brain magnetic resonance imaging revealing occipital and temporal bones.']
['axial flair sequence shows well - circumscribed subcortical hypointense cystic lesion in bilateral anterior temporal lobe.'],['symmetrical t2w hyperintensities in bilateral temporal and parieto - occipital white matter with involvement of u - fibers with juxta cortical focal hyperintensities']
"['fluorescein fundus angiogram of right eye with na - aion, showing location of the watershed zone ( arrows, wsz, vertical dark band ) in relation to the optic disc. the watershed zone is passing through the temporal part of the disc and adjacent temporal peripapillary choroid [ 36 ]']",['fluorescein fundus angiogram of right eye showing superotemporal areas of ischemia due to occlusive vasculitis']
"['axial unenhanced brain ct scan, acquired at hospital admission, showing right - sided hyperdensity in the putamen ( arrow ).']",['non - contrast ct head showing fronto - temporal subdural hematoma ( arrow )']
['mri brain coronal fluid attenuated inversion recovery image showing periventricular hyperintense lesions'],['magnetic resonance imaging brain flair images showing bilateral symmetrical medial temporal atrophy with ex vacuo dilatation of ipsilateral thalamic grey matter']
['axial flair t2 - weighted brain mri showing a sinonasal mass involving the ethmoid / sphenoid sinuses ( white arrows ) with extension into the right orbit ( black arrowhead ).'],"['mri flair showed increased signal in bilateral occipital lobes, left greater than right ( arrows ).']"
['t2w mri brain showing classical “ eye of tiger sign ”'],['t2w axial mri of brain shows numerous small cortical and subcortical t2 hyperintensities along bilateral occipital lobes']
['axial mri section with t1 - weighted sequence with fat suppression after administration of paramagnetic contrast medium. there is high uptake of the contrast medium in the lesions in the cavernous sinus and meckel ’ s cave ( arrows ). high uptake is also observed in the lesion in the hypothalamus ( arrowhead ).'],['brain mri showing sega located near the right foramen of monro and causing hydrocephalus in a 1 - week - old patient with tsc']
"['initial brain computed tomography obtained at admission showing a chronic subdural hemorrhage ( arrowheads ) over both cerebral hemispheres, which compressed the adjacent brain.']",['initial non - enhanced computed tomography scans show symmetrical hyperdense swelling and decreased periventricular white matter damage ( left - right > left > left ).']
['magnetic resonance imaging brain axial t1 - weighted contrast - enhancing image demonstrating dramatic improvement in the fusarium fungal abscess after both surgical evacuation and 7 months of antifungal therapy.'],['t1w axial mri of brain showing small hyperintense lesions along bilateral occipital and temporal bones']
['mri : hyperintense signal involving the white matter typically in occipital regions.'],['flair mri brain showing hyperintense signal on bilateral occipital and cerebellar hemispheres.']
['mri post initial procedure which shows small localised soft - tissue lesion in the right fronto - parietal region ( measuring up to 1. 5 cm ) with no extension to the underlying bone.'],['the t1 sagittal image of brain mri showing mild cerebellar atrophy in a patient with herpes simplex virus encephalitis.']
['magnetic resonance image of the brain showing the complex cystic lesion extending from the left hemipons to the thalamus.'],"['sagittal t1 mri of the brain, showing absence of the primary fissure of the cerebellar hemisphere.']"
['computed tomography of the brain showing the tip of the arrowhead reaching up to the brainstem'],['sagittal ct scan demonstrating absence of occipital encephalocele with displacement of the 4th ventricle']
['mr t2 axial image showing contusion of the brainstem'],['t2w axial image of brain showing bilateral occipital encephalocele with scolices and surrounding edema.']
"[""75 - year - old man with amygdala enlargement and rathke's cleft cyst. sagittal 11c - methionine ( met ) positron emission tomography / ct image showing no 11c - met uptake in rathke's cleft cyst, whereas physiological 11c - met uptake is observed in pituitary gland in anterior part.""]",['pet / ct images showing high to low fdg uptake in a patient with anaplastic oligoastrocytoma ( arrow ).']
['t2 - weighted brain mri : note periventricular hyperintensities in relation with csf resorption.'],"['brain mri of the first patient at the age of 17 showing bilateral symmetrical white matter hypointensity, with no evidence of demyelination or periventricular white matter pathways forming the “ molar tooth ” sign ”.']"
"['magnetic resonance image. preoperative magnetic resonance imaging showed a well - circumscribed, unilocular 18 cm×14 cm×8 cm cystic lesion without skull or brain involvement.']",['post - contrast sagittal t1 - weighted sequence in a 49 - year - old woman with a history of syncopal attacks demonstrates a pronounced thickening of the left parietal bone with the bulk of the extracranial extension into the extra - axial space as well as the involvement of the subdural bone at the in the inferolateral region of the right parietal bone. the parietal bone is consistent with osteomyelitis.']
['cranial computed tomography shows location of ischemic stroke at chronic stage in left occipital lobe ( white arrow )'],"['a 39 - year - old man with sudden onset headache and seizures. ct brain scan done on admission shows prominent sulcal effacement and marked atrophy, which suggests a possibility of blood - brain barrier.']"
